time_s,nodeId,eventType
13.014,19,Rx Data
13.014,19,Tx Ack
13.014,15,Rx Ack
13.018,15,Tx Data
13.018,19,Rx Data
13.022,15,Tx Data
13.022,19,Rx Data
13.022,19,Tx Ack
13.023,15,Rx Ack
13.026,15,Tx Data
13.027,19,Rx Data
13.030,15,Tx Data
13.031,19,Rx Data
13.031,19,Tx Ack
13.031,15,Rx Ack
13.035,15,Tx Data
13.035,19,Rx Data
13.039,15,Tx Data
13.039,19,Rx Data
13.039,19,Tx Ack
13.039,15,Rx Ack
13.043,15,Tx Data
13.043,19,Rx Data
13.047,15,Tx Data
13.047,19,Rx Data
13.047,19,Tx Ack
13.047,15,Rx Ack
13.050,15,Tx Ack
13.050,19,Rx Ack
13.050,19,Tx Ack
13.050,15,Rx Ack
13.050,15,Tx Ack
13.050,19,Rx Ack
15.005,3,Tx Ack
15.011,14,Rx Ack
15.011,14,Tx Ack
15.011,3,Rx Ack
15.015,14,Tx Data
15.015,3,Rx Data
15.015,3,Tx Ack
15.015,14,Rx Ack
15.019,14,Tx Data
15.019,3,Rx Data
15.023,14,Tx Data
15.023,3,Rx Data
15.023,3,Tx Ack
15.023,14,Rx Ack
15.027,14,Tx Data
15.027,3,Rx Data
15.031,14,Tx Data
15.031,3,Rx Data
15.031,3,Tx Ack
15.032,14,Rx Ack
15.035,14,Tx Data
15.035,3,Rx Data
15.039,14,Tx Data
15.040,3,Rx Data
15.040,3,Tx Ack
15.040,14,Rx Ack
15.043,14,Tx Data
15.044,3,Rx Data
15.048,14,Tx Data
15.048,3,Rx Data
15.048,3,Tx Ack
15.048,14,Rx Ack
15.050,14,Tx Ack
15.050,3,Rx Ack
15.050,3,Tx Ack
15.050,14,Rx Ack
15.050,14,Tx Ack
15.050,3,Rx Ack
15.211,9,Tx Ack
15.220,10,Rx Ack
15.220,10,Tx Ack
15.220,9,Rx Ack
15.224,10,Tx Data
15.224,9,Rx Data
15.224,9,Tx Ack
15.224,10,Rx Ack
15.228,10,Tx Data
15.228,9,Rx Data
15.232,10,Tx Data
15.232,9,Rx Data
15.232,9,Tx Ack
15.232,10,Rx Ack
15.236,10,Tx Data
15.236,9,Rx Data
15.240,10,Tx Data
15.240,9,Rx Data
15.240,9,Tx Ack
15.241,10,Rx Ack
15.244,10,Tx Data
15.245,9,Rx Data
15.248,10,Tx Data
15.249,9,Rx Data
15.249,9,Tx Ack
15.249,10,Rx Ack
15.250,10,Tx Ack
15.250,9,Rx Ack
15.250,9,Tx Ack
15.250,10,Rx Ack
15.250,10,Tx Ack
15.251,9,Rx Ack
15.409,4,Tx Ack
15.417,7,Rx Ack
15.417,7,Tx Ack
15.417,4,Rx Ack
15.421,7,Tx Data
15.421,4,Rx Data
15.421,4,Tx Ack
15.421,7,Rx Ack
15.425,7,Tx Data
15.425,4,Rx Data
15.429,7,Tx Data
15.429,4,Rx Data
15.429,4,Tx Ack
15.429,7,Rx Ack
15.433,7,Tx Data
15.433,4,Rx Data
15.437,7,Tx Data
15.437,4,Rx Data
15.437,4,Tx Ack
15.438,7,Rx Ack
15.441,7,Tx Data
15.442,4,Rx Data
15.445,7,Tx Data
15.446,4,Rx Data
15.446,4,Tx Ack
15.446,7,Rx Ack
15.450,7,Tx Data
15.450,4,Rx Data
15.450,7,Tx Ack
15.450,4,Rx Ack
15.450,4,Tx Ack
15.450,7,Rx Ack
15.450,7,Tx Ack
15.450,4,Rx Ack
15.802,2,Tx Ack
15.803,3,Rx Ack
15.803,3,Tx Ack
15.803,2,Rx Ack
15.807,3,Tx Data
15.807,2,Rx Data
15.807,2,Tx Ack
15.807,3,Rx Ack
15.811,3,Tx Data
15.811,2,Rx Data
15.815,3,Tx Data
15.815,2,Rx Data
15.815,2,Tx Ack
15.816,3,Rx Ack
15.819,3,Tx Data
15.820,2,Rx Data
15.823,3,Tx Data
15.824,2,Rx Data
15.824,2,Tx Ack
15.824,3,Rx Ack
15.828,3,Tx Data
15.828,2,Rx Data
15.832,3,Tx Data
15.832,2,Rx Data
15.832,2,Tx Ack
15.832,3,Rx Ack
15.836,3,Tx Data
15.836,2,Rx Data
15.840,3,Tx Data
15.840,2,Rx Data
15.840,2,Tx Ack
15.840,3,Rx Ack
15.844,3,Tx Data
15.844,2,Rx Data
15.848,3,Tx Data
15.848,2,Rx Data
15.848,2,Tx Ack
15.848,3,Rx Ack
15.850,3,Tx Ack
15.850,2,Rx Ack
15.850,2,Tx Ack
15.850,3,Rx Ack
15.850,3,Tx Ack
15.850,2,Rx Ack
16.409,18,Tx Ack
16.414,17,Rx Ack
16.414,17,Tx Ack
16.414,18,Rx Ack
16.418,17,Tx Data
16.418,18,Rx Data
16.418,18,Tx Ack
16.418,17,Rx Ack
16.422,17,Tx Data
16.422,18,Rx Data
16.426,17,Tx Data
16.426,18,Rx Data
16.426,18,Tx Ack
16.426,17,Rx Ack
16.430,17,Tx Data
16.430,18,Rx Data
16.434,17,Tx Data
16.435,18,Rx Data
16.435,18,Tx Ack
16.435,17,Rx Ack
16.438,17,Tx Data
16.439,18,Rx Data
16.442,17,Tx Data
16.443,18,Rx Data
16.443,18,Tx Ack
16.443,17,Rx Ack
16.447,17,Tx Data
16.447,18,Rx Data
16.450,17,Tx Ack
16.450,18,Rx Ack
16.450,18,Tx Ack
16.450,17,Rx Ack
16.450,17,Tx Ack
16.450,18,Rx Ack
17.004,5,Tx Ack
17.012,3,Rx Ack
17.012,3,Tx Ack
17.012,5,Rx Ack
17.016,3,Tx Data
17.016,5,Rx Data
17.016,5,Tx Ack
17.016,3,Rx Ack
17.020,3,Tx Data
17.020,5,Rx Data
17.024,3,Tx Data
17.024,5,Rx Data
17.024,5,Tx Ack
17.024,3,Rx Ack
17.028,3,Tx Data
17.028,5,Rx Data
17.032,3,Tx Data
17.032,5,Rx Data
17.032,5,Tx Ack
17.032,3,Rx Ack
17.036,3,Tx Data
17.036,5,Rx Data
17.040,3,Tx Data
17.041,5,Rx Data
17.041,5,Tx Ack
17.041,3,Rx Ack
17.044,3,Tx Data
17.045,5,Rx Data
17.049,3,Tx Data
17.049,5,Rx Data
17.049,5,Tx Ack
17.049,3,Rx Ack
17.050,3,Tx Ack
17.050,5,Rx Ack
17.050,5,Tx Ack
17.050,3,Rx Ack
17.050,3,Tx Ack
17.050,5,Rx Ack
17.211,16,Tx Ack
17.220,14,Rx Ack
17.220,14,Tx Ack
17.220,16,Rx Ack
17.224,14,Tx Data
17.224,16,Rx Data
17.224,16,Tx Ack
17.224,14,Rx Ack
17.228,14,Tx Data
17.228,16,Rx Data
17.232,14,Tx Data
17.232,16,Rx Data
17.232,16,Tx Ack
17.232,14,Rx Ack
17.236,14,Tx Data
17.236,16,Rx Data
17.240,14,Tx Data
17.240,16,Rx Data
17.240,16,Tx Ack
17.241,14,Rx Ack
17.244,14,Tx Data
17.245,16,Rx Data
17.248,14,Tx Data
17.249,16,Rx Data
17.249,16,Tx Ack
17.249,14,Rx Ack
17.250,14,Tx Ack
17.250,16,Rx Ack
17.250,16,Tx Ack
17.250,14,Rx Ack
17.250,14,Tx Ack
17.250,16,Rx Ack
17.407,9,Tx Ack
17.412,15,Rx Ack
17.412,15,Tx Ack
17.412,9,Rx Ack
17.416,15,Tx Data
17.416,9,Rx Data
17.416,9,Tx Ack
17.416,15,Rx Ack
17.420,15,Tx Data
17.420,9,Rx Data
17.424,15,Tx Data
17.424,9,Rx Data
17.424,9,Tx Ack
17.424,15,Rx Ack
17.428,15,Tx Data
17.428,9,Rx Data
17.432,15,Tx Data
17.432,9,Rx Data
17.432,9,Tx Ack
17.433,15,Rx Ack
17.436,15,Tx Data
17.436,9,Rx Data
17.440,15,Tx Data
17.441,9,Rx Data
17.441,9,Tx Ack
17.441,15,Rx Ack
17.444,15,Tx Data
17.445,9,Rx Data
17.449,15,Tx Data
17.449,9,Rx Data
17.449,9,Tx Ack
17.449,15,Rx Ack
17.450,15,Tx Ack
17.450,9,Rx Ack
17.450,9,Tx Ack
17.450,15,Rx Ack
17.450,15,Tx Ack
17.450,9,Rx Ack
18.201,4,Tx Ack
18.201,0,Rx Ack
18.201,0,Tx Ack
18.201,4,Rx Ack
18.205,0,Tx Data
18.206,4,Rx Data
18.206,4,Tx Ack
18.206,0,Rx Ack
18.209,0,Tx Data
18.210,4,Rx Data
18.214,0,Tx Data
18.214,4,Rx Data
18.214,4,Tx Ack
18.214,0,Rx Ack
18.218,0,Tx Data
18.218,4,Rx Data
18.222,0,Tx Data
18.222,4,Rx Data
18.222,4,Tx Ack
18.222,0,Rx Ack
18.226,0,Tx Data
18.226,4,Rx Data
