time_s,nodeId,x,y,z
29,15,346.843,-110.421,7.71
29,16,332.666,-86.322,-6.775
29,17,357.945,-80.876,-18.591
29,18,330.218,-71.578,2.117
29,19,347.871,-83.197,4.15
30,0,361.878,-96.849,20.487
30,1,382.432,-101.194,12.935
30,2,370.745,-94.99,-12.722
30,3,350.08,-85.967,-17.674
30,4,365.843,-114.206,-21.499
30,5,386.871,-76.707,-16.543
30,6,371.346,-95.567,5.956
30,7,370.943,-84.386,-11.002
30,8,366.256,-74.511,23.917
30,9,358.923,-100.824,-22.309
30,10,351.167,-88.028,10.125
30,11,384.707,-96.038,-0.491
30,12,352.272,-95.779,-4.397
30,13,387.266,-82.12,5.793
30,14,366.497,-74.162,10.013
30,15,357.844,-112.818,8.239
30,16,343.561,-84.757,-6.48
30,17,370.267,-80.008,-20.089
30,18,342.343,-71.081,2.414
30,19,360.515,-85.473,4.24
31,0,373.662,-99.513,21.855
31,1,396.038,-103.891,12.981
31,2,384.105,-94.451,-12.025
31,3,361.471,-84.18,-17.419
31,4,378.275,-114.59,-20.823
31,5,399.236,-76.002,-16.717
31,6,384.571,-95.519,6.078
31,7,383.028,-85.23,-10.263
31,8,378.76,-74.11,24.576
31,9,372.207,-102.617,-22.364
31,10,363.373,-86.918,10.191
31,11,397.965,-98.136,-0.054
31,12,364.531,-99.38,-3.89
31,13,400.997,-80.963,5.763
31,14,379.013,-72.678,10.19
31,15,369.978,-114.247,8.548
31,16,353.666,-84.3,-6.126
31,17,383.076,-79.797,-21.286
31,18,355.781,-71.734,2.708
31,19,372.257,-86.347,4.251
32,0,384.972,-100.84,22.876
32,1,407.957,-105.109,12.976
32,2,397.165,-94.063,-11.462
32,3,373.404,-83.11,-17.265
32,4,390.95,-114.856,-19.722
32,5,411.288,-75.394,-16.69
32,6,397.038,-96.243,6.304
32,7,396.56,-85.876,-9.357
32,8,390.032,-73.275,24.874
32,9,383.621,-104.037,-22.062
32,10,375.546,-86.205,10.13
32,11,410.244,-100.255,0.169
32,12,376.957,-102.326,-3.461
32,13,413.833,-78.64,5.625
32,14,392.927,-71.158,10.149
32,15,382.699,-116.062,8.603
32,16,365.028,-82.773,-5.669
32,17,395.012,-79.175,-22.17
32,18,368.348,-70.935,2.841
32,19,385.309,-87.686,4.129
33,0,397.15,-102.719,23.605
33,1,420.678,-105.58,12.773
33,2,410.229,-93.683,-10.785
33,3,386.315,-81.208,-16.95
33,4,404.03,-115.26,-18.42
33,5,423.564,-76.528,-16.25
33,6,409.7,-94.423,6.376
33,7,408.662,-87.618,-8.602
33,8,401.834,-73.811,24.726
33,9,397.503,-104.326,-21.588
33,10,388.005,-84.819,10.334
33,11,422.869,-102.608,0.339
33,12,389.563,-103.5,-2.973
33,13,425.848,-77.845,5.693
33,14,405.422,-70.258,9.884
33,15,394.547,-117.457,8.467
33,16,377.302,-82.788,-5.399
33,17,406.412,-78.244,-22.66
33,18,381.293,-70.301,3.118
33,19,397.793,-89.484,4.063
34,0,409.297,-104.391,23.967
34,1,433.014,-106.575,12.656
34,2,424.134,-92.616,-10.199
34,3,399.084,-80.631,-16.691
34,4,418.034,-115.118,-16.922
34,5,435.506,-75.899,-15.503
34,6,422.634,-95.389,6.513
34,7,420.728,-88.219,-7.685
34,8,414.69,-72.769,24.232
34,9,410.08,-104.774,-20.734
34,10,400.096,-84.081,10.377
34,11,435.617,-104.943,0.358
34,12,402.033,-104.502,-2.569
34,13,439.592,-77.07,5.719
34,14,417.586,-70.276,9.288
34,15,407.214,-116.72,8.191
34,16,389.258,-82.323,-4.965
34,17,419.704,-78.422,-22.697
34,18,395.634,-70.933,3.395
34,19,410.788,-91.167,3.745
35,0,421.541,-105.366,24.05
35,1,445.434,-108.168,12.448
35,2,437.093,-92.366,-9.771
35,3,411.423,-79.865,-16.368
35,4,430.252,-114.04,-15.167
35,5,446.53,-76.109,-14.722
35,6,435.195,-95.205,6.49
35,7,432.622,-89.634,-6.888
35,8,426.962,-73.097,23.449
35,9,422.432,-105.731,-19.732
35,10,413.004,-83.892,10.559
35,11,447.693,-107.115,0.349
35,12,414.673,-106.367,-2.083
35,13,449.996,-76.064,5.586
35,14,430.576,-69.459,8.566
35,15,419.8,-117.18,7.811
35,16,403.259,-82.588,-4.587
35,17,431.718,-78.047,-22.426
35,18,409.345,-71.409,3.579
35,19,424.261,-92.387,3.713
36,0,434.685,-105.036,23.994
36,1,456.056,-108.122,12.171
36,2,450.055,-93.432,-9.588
36,3,424.29,-80.042,-15.722
36,4,443.636,-113.406,-13.454
36,5,458.088,-77.248,-13.657
36,6,448.074,-94.664,6.63
36,7,444.515,-88.657,-5.884
36,8,439.239,-74.4,22.545
36,9,434.62,-105.666,-18.735
36,10,425.522,-83.519,10.683
36,11,459.977,-107.883,0.319
36,12,427.637,-108.088,-1.608
36,13,462.152,-75.77,5.648
36,14,442.872,-69.129,7.741
36,15,432.12,-116.983,7.482
36,16,415.544,-83.939,-4.192
36,17,444.196,-77.822,-21.737
36,18,423.423,-72.445,3.709
