time_s,nodeId,x,y,z
27,3,2.99771,0.0926331,0.0354319
27,4,4.01331,0.0938746,0.0359589
27,5,5.24829,2.50824,7.84371
27,6,5.99474,0.118756,0.0930194
27,7,7.01198,0.10481,0.050416
27,8,8.00804,0.152147,0.0695429
27,9,-0.651608,0.923202,0.741998
27,10,0.191968,0.747477,4.30853
27,11,0.719865,2.46194,3.35194
27,12,1.65101,1.22133,2.35986
27,13,2.99659,1.04162,0.0431461
27,14,-0.969075,-0.00967627,0.0208396
28,0,0.0204039,0.00660787,0.00697727
28,1,1.8113,0.127791,0.206522
28,2,2.00396,0.0215743,0.006544
28,3,2.99771,0.0926331,0.0354319
28,4,4.01331,0.0938746,0.0359589
28,5,5.24829,2.50824,7.84371
28,6,5.99474,0.118756,0.0930194
28,7,7.01198,0.10481,0.050416
28,8,8.00691,0.151037,0.0636724
28,9,-0.651608,0.923202,0.741998
28,10,0.191968,0.747477,4.30853
28,11,0.719865,2.46194,3.35194
28,12,1.65101,1.22133,2.35986
28,13,2.99659,1.04162,0.0431461
28,14,-0.967292,-0.0108889,0.015857
29,0,0.0204039,0.00660787,0.00697727
29,1,1.8113,0.127791,0.206522
29,2,2.00396,0.0215743,0.006544
29,3,2.99771,0.0926331,0.0354319
29,4,4.01331,0.0938746,0.0359589
29,5,5.24829,2.50824,7.84371
29,6,5.99474,0.118756,0.0930194
29,7,7.01198,0.10481,0.050416
29,8,8.00577,0.149928,0.0578018
29,9,-0.651608,0.923202,0.741998
29,10,0.191968,0.747477,4.30853
29,11,0.719865,2.46194,3.35194
29,12,1.65101,1.22133,2.35986
29,13,2.99659,1.04162,0.0431461
29,14,-0.964945,-0.0138115,0.00746933
30,0,0.0204039,0.00660787,0.00697727
30,1,1.8113,0.127791,0.206522
30,2,2.00396,0.0215743,0.006544
30,3,2.99771,0.0926331,0.0354319
30,4,4.01331,0.0938746,0.0359589
30,5,5.24829,2.50824,7.84371
30,6,5.99474,0.118756,0.0930194
30,7,7.01198,0.10481,0.050416
30,8,8.00903,0.150034,0.0546284
30,9,-0.651608,0.923202,0.741998
30,10,0.191968,0.747477,4.30853
30,11,0.719865,2.46194,3.35194
30,12,1.65101,1.22133,2.35986
30,13,2.99659,1.04162,0.0431461
30,14,-0.962598,-0.016734,-0.000918321
31,0,0.0204039,0.00660787,0.00697727
31,1,1.8113,0.127791,0.206522
31,2,2.00396,0.0215743,0.006544
31,3,2.99771,0.0926331,0.0354319
31,4,4.01331,0.0938746,0.0359589
31,5,5.24829,2.50824,7.84371
31,6,5.99474,0.118756,0.0930194
31,7,7.01198,0.10481,0.050416
31,8,8.01382,0.150567,0.0524026
31,9,-0.651608,0.923202,0.741998
31,10,0.191968,0.747477,4.30853
31,11,0.719865,2.46194,3.35194
31,12,1.65101,1.22133,2.35986
31,13,2.99659,1.04162,0.0431461
31,14,-0.965347,-0.0181751,0.00600857
32,0,0.0204039,0.00660787,0.00697727
32,1,1.8113,0.127791,0.206522
32,2,2.00396,0.0215743,0.006544
32,3,2.99771,0.0926331,0.0354319
32,4,4.01331,0.0938746,0.0359589
32,5,5.24829,2.50824,7.84371
32,6,5.99474,0.118756,0.0930194
32,7,7.01198,0.10481,0.050416
32,8,8.01861,0.151101,0.0501768
32,9,-0.651608,0.923202,0.741998
32,10,0.191968,0.747477,4.30853
32,11,0.719865,2.46194,3.35194
32,12,1.65101,1.22133,2.35986
32,13,2.99659,1.04162,0.0431461
32,14,-0.970364,-0.0189567,0.0197518
33,0,0.0204039,0.00660787,0.00697727
33,1,1.8113,0.127791,0.206522
33,2,2.00396,0.0215743,0.006544
33,3,2.99771,0.0926331,0.0354319
33,4,4.01331,0.0938746,0.0359589
33,5,5.24829,2.50824,7.84371
33,6,5.99474,0.118756,0.0930194
33,7,7.01198,0.10481,0.050416
33,8,8.01943,0.151667,0.0531085
33,9,-0.651608,0.923202,0.741998
33,10,0.191968,0.747477,4.30853
33,11,0.719865,2.46194,3.35194
33,12,1.65101,1.22133,2.35986
33,13,2.99659,1.04162,0.0431461
33,14,-0.975381,-0.0197384,0.033495
34,0,0.0204039,0.00660787,0.00697727
34,1,1.8113,0.127791,0.206522
34,2,2.00396,0.0215743,0.006544
34,3,2.99771,0.0926331,0.0354319
34,4,4.01331,0.0938746,0.0359589
34,5,5.24829,2.50824,7.84371
34,6,5.99474,0.118756,0.0930194
34,7,7.01198,0.10481,0.050416
34,8,8.01884,0.152246,0.0578617
34,9,-0.651608,0.923202,0.741998
34,10,0.191968,0.747477,4.30853
34,11,0.719865,2.46194,3.35194
34,12,1.65101,1.22133,2.35986
34,13,2.99659,1.04162,0.0431461
34,14,-0.97471,-0.0197139,0.0406992
35,0,0.0204039,0.00660787,0.00697727
35,1,1.8113,0.127791,0.206522
35,2,2.00396,0.0215743,0.006544
35,3,2.99771,0.0926331,0.0354319
35,4,4.01331,0.0938746,0.0359589
35,5,5.24829,2.50824,7.84371
35,6,5.99474,0.118756,0.0930194
35,7,7.01198,0.10481,0.050416
35,8,8.01825,0.152824,0.0626148
35,9,-0.651608,0.923202,0.741998
35,10,0.191968,0.747477,4.30853
35,11,0.719865,2.46194,3.35194
35,12,1.65101,1.22133,2.35986
35,13,2.99659,1.04162,0.0431461
35,14,-0.971506,-0.0193306,0.044993
36,0,0.0204039,0.00660787,0.00697727
36,1,1.8113,0.127791,0.206522
36,2,2.00396,0.0215743,0.006544
36,3,2.99771,0.0926331,0.0354319
36,4,4.01331,0.0938746,0.0359589
36,5,5.24829,2.50824,7.84371
36,6,5.99474,0.118756,0.0930194
36,7,7.01198,0.10481,0.050416
36,8,8.01618,0.155461,0.0628804
36,9,-0.651608,0.923202,0.741998
36,10,0.191968,0.747477,4.30853
36,11,0.719865,2.46194,3.35194
36,12,1.65101,1.22133,2.35986
36,13,2.99659,1.04162,0.0431461
36,14,-0.968302,-0.0189473,0.0492868
37,0,0.0204039,0.00660787,0.00697727
37,1,1.8113,0.127791,0.206522
37,2,2.00396,0.0215743,0.006544
37,3,2.99771,0.0926331,0.0354319
37,4,4.01331,0.0938746,0.0359589
37,5,5.24829,2.50824,7.84371
37,6,5.99474,0.118756,0.0930194
37,7,7.01198,0.10481,0.050416
37,8,8.01358,0.158825,0.0615611
37,9,-0.651608,0.923202,0.741998
37,10,0.191968,0.747477,4.30853
37,11,0.719865,2.46194,3.35194
37,12,1.65101,1.22133,2.35986
37,13,2.99659,1.04162,0.0431461
37,14,-0.975194,-0.0176939,0.0536201
38,0,0.0204039,0.00660787,0.00697727
38,1,1.8113,0.127791,0.206522
38,2,2.00396,0.0215743,0.006544
38,3,2.99771,0.0926331,0.0354319
38,4,4.01331,0.0938746,0.0359589
38,5,5.24829,2.50824,7.84371
38,6,5.99474,0.118756,0.0930194
38,7,7.01198,0.10481,0.050416
38,8,8.01097,0.162189,0.0602417
38,9,-0.651608,0.923202,0.741998
38,10,0.191968,0.747477,4.30853
38,11,0.719865,2.46194,3.35194
38,12,1.65101,1.22133,2.35986
38,13,2.99659,1.04162,0.0431461
38,14,-0.986578,-0.0160531,0.0579711
39,0,0.0204039,0.00660787,0.00697727
39,1,1.8113,0.127791,0.206522
39,2,2.00396,0.0215743,0.006544
39,3,2.99771,0.0926331,0.0354319
39,4,4.01331,0.0938746,0.0359589
39,5,5.24829,2.50824,7.84371
39,6,5.99474,0.118756,0.0930194
39,7,7.01198,0.10481,0.050416
39,8,8.0077,0.169989,0.0579278
39,9,-0.651608,0.923202,0.741998
39,10,0.191968,0.747477,4.30853
39,11,0.719865,2.46194,3.35194
39,12,1.65101,1.22133,2.35986
39,13,2.99659,1.04162,0.0431461
39,14,-0.997963,-0.0144124,0.0623221
40,0,0.0204039,0.00660787,0.00697727
40,1,1.8113,0.127791,0.206522
40,2,2.00396,0.0215743,0.006544
40,3,2.99771,0.0926331,0.0354319
40,4,4.01331,0.0938746,0.0359589
40,5,5.24829,2.50824,7.84371
40,6,5.99474,0.118756,0.0930194
40,7,7.01198,0.10481,0.050416
40,8,8.00418,0.179357,0.0552627
40,9,-0.651608,0.923202,0.741998
40,10,0.191968,0.747477,4.30853
40,11,0.719865,2.46194,3.35194
40,12,1.65101,1.22133,2.35986
40,13,2.99659,1.04162,0.0431461
40,14,-0.994554,-0.0125836,0.059272
41,0,0.0204039,0.00660787,0.00697727
41,1,1.8113,0.127791,0.206522
41,2,2.00396,0.0215743,0.006544
41,3,2.99771,0.0926331,0.0354319
41,4,4.01331,0.0938746,0.0359589
41,5,5.24829,2.50824,7.84371
41,6,5.99474,0.118756,0.0930194
41,7,7.01198,0.10481,0.050416
41,8,8.00066,0.188724,0.0525975
41,9,-0.651608,0.923202,0.741998
41,10,0.191968,0.747477,4.30853
41,11,0.719865,2.46194,3.35194
41,12,1.65101,1.22133,2.35986
41,13,2.99659,1.04162,0.0431461
41,14,-0.98456,-0.0106712,0.0529279
42,0,0.0204039,0.00660787,0.00697727
42,1,1.8113,0.127791,0.206522
42,2,2.00396,0.0215743,0.006544
42,3,2.99771,0.0926331,0.0354319
42,4,4.01331,0.0938746,0.0359589
42,5,5.24829,2.50824,7.84371
42,6,5.99474,0.118756,0.0930194
42,7,7.01198,0.10481,0.050416
42,8,8.00247,0.18313,0.0546538
42,9,-0.651608,0.923202,0.741998
42,10,0.191968,0.747477,4.30853
42,11,0.719865,2.46194,3.35194
42,12,1.65101,1.22133,2.35986
42,13,2.99659,1.04162,0.0431461
42,14,-0.974566,-0.00875882,0.0465838
43,0,0.0204039,0.00660787,0.00697727
43,1,1.8113,0.127791,0.206522
43,2,2.00396,0.0215743,0.006544
43,3,2.99771,0.0926331,0.0354319
43,4,4.01331,0.0938746,0.0359589
43,5,5.24829,2.50824,7.84371
43,6,5.99474,0.118756,0.0930194
43,7,7.01198,0.10481,0.050416
43,8,8.00616,0.172253,0.0583776
43,9,-0.651608,0.923202,0.741998
43,10,0.191968,0.747477,4.30853
43,11,0.719865,2.46194,3.35194
43,12,1.65101,1.22133,2.35986
43,13,2.99659,1.04162,0.0431461
43,14,-0.972962,-0.0067983,0.0449792
44,0,0.0204039,0.00660787,0.00697727
44,1,1.8113,0.127791,0.206522
44,2,2.00396,0.0215743,0.006544
44,3,2.99771,0.0926331,0.0354319
44,4,4.01331,0.0938746,0.0359589
44,5,5.24829,2.50824,7.84371
44,6,5.99474,0.118756,0.0930194
44,7,7.01198,0.10481,0.050416
44,8,8.00984,0.161375,0.0621014
44,9,-0.651608,0.923202,0.741998
44,10,0.191968,0.747477,4.30853
44,11,0.719865,2.46194,3.35194
44,12,1.65101,1.22133,2.35986
44,13,2.99659,1.04162,0.0431461
44,14,-0.975093,-0.00481637,0.045484
45,0,0.0204039,0.00660787,0.00697727
45,1,1.8113,0.127791,0.206522
45,2,2.00396,0.0215743,0.006544
45,3,2.99771,0.0926331,0.0354319
45,4,4.01331,0.0938746,0.0359589
45,5,5.24829,2.50824,7.84371
45,6,5.99474,0.118756,0.0930194
45,7,7.01198,0.10481,0.050416
45,8,8.00923,0.157897,0.0605803
45,9,-0.651608,0.923202,0.741998
45,10,0.191968,0.747477,4.30853
45,11,0.719865,2.46194,3.35194
45,12,1.65101,1.22133,2.35986
45,13,2.99659,1.04162,0.0431461
45,14,-0.977223,-0.00283444,0.0459888
46,0,0.0204039,0.00660787,0.00697727
46,1,1.8113,0.127791,0.206522
46,2,2.00396,0.0215743,0.006544
46,3,2.99771,0.0926331,0.0354319
46,4,4.01331,0.0938746,0.0359589
46,5,5.24829,2.50824,7.84371
46,6,5.99474,0.118756,0.0930194
46,7,7.01198,0.10481,0.050416
46,8,8.00709,0.157033,0.0572067
46,9,-0.651608,0.923202,0.741998
46,10,0.191968,0.747477,4.30853
46,11,0.719865,2.46194,3.35194
46,12,1.65101,1.22133,2.35986
46,13,2.99659,1.04162,0.0431461
46,14,-0.980889,-0.00900785,0.0474289
